bridge_id,status,lat,lon,elev_m,region,bearing_deg,face_normal_deg,T_peak_max,T_surf_peak,T_top_peak,T_bot_peak,T_top_mean,T_bot_mean,max_vertical_gradient,mean_vertical_gradient,diurnal_range_top
U1525,ok,24.09115335833333,109.67643226666668,54.0,R3,95.3,185.3,42.93252251488747,42.93252251488747,34.86907126405663,31.365116965332266,28.661895225352755,28.20845109250005,4.45712014941115,0.45344413285270296,7.825855652116754
U1527,ok,23.769653755,109.212566375,89.0,R3,117.2,207.2,47.71623820697666,47.71623820697666,35.38471308419705,32.79785424845339,29.33278322808776,29.06134139856926,2.9118544944796483,0.2714418295184934,7.91719229252341
U1528,ok,23.894822027272724,109.97644889545457,259.0,R3,149.6,239.6,36.0913253079319,36.0913253079319,28.570013892367875,28.766377636721522,25.44665378226276,25.38246929530799,0.8900264674626399,0.06418448695477011,4.208453904434407
U1531,ok,24.262154375,109.47516855,78.0,R3,9.6,99.6,47.53607350462738,47.53607350462738,33.89267644145078,33.55396713518199,29.2070419454964,29.133130959788932,1.3349950641709079,0.07391098570747126,6.258257773390184
U1529,ok,23.71123552142857,109.22598922857142,49.0,R3,42.5,132.5,46.25502593870436,46.25502593870436,34.34585075040609,33.25994697092911,29.26147742856475,29.13886490829866,1.9455822264375513,0.1226125202660902,6.82430992160997
U1530,ok,24.24843688,109.34614788,100.0,R3,13.8,103.8,44.95751794469835,44.95751794469835,33.477757626004205,32.84263124147845,28.781940221054555,28.676955234208197,1.4652569324652873,0.10498498684636154,6.272614609204233
U1532,ok,23.70712655,109.23584255,60.0,R3,26.2,116.2,45.89233446667329,45.89233446667329,33.8896065817277,33.074772246328656,29.151472922770147,29.047598956612344,1.6675977869151168,0.10387396615779693,6.451344238166929
U1533,ok,23.625975734090908,109.89274417424242,178.0,R3,102.1,192.1,39.46813896908433,39.46813896908433,32.77530955014136,28.883380449415732,27.114958985906643,26.69418557029847,3.967277384748204,0.4207734156081774,7.054433983563214
U1534,ok,24.09579766964286,109.9074244377381,124.0,R3,70.6,160.6,39.426155359525616,39.426155359525616,30.675051381670997,30.167140560028354,27.012218079682647,26.839043581795742,1.9424363058686076,0.17317449788690648,4.835652877526389
U1535,ok,23.57066415,109.68750925,33.0,R3,40.5,130.5,40.09555599948799,40.09555599948799,32.22077137905973,30.993628457453458,28.163562484796113,28.082941506024795,1.5758248647893076,0.0806209787713124,5.3601660154320605
U1536,ok,23.625021525,109.7313517375,93.0,R3,66.1,156.1,40.85970986396099,40.85970986396099,32.636587644241565,30.992871906797827,27.918703108519104,27.761006104441716,2.1492200274269138,0.1576970040773862,6.058894380203672
U1537,ok,24.262903675,109.475254925,78.0,R3,9.5,99.5,47.52260777684549,47.52260777684549,33.88454219658168,33.540460974677735,29.194373463867365,29.11961092955933,1.3374463002504378,0.0747625343080348,6.263120058690447
U1538,ok,24.2271905,109.53061935,78.0,R3,32.6,122.6,47.12720871682179,47.12720871682179,33.618054246388716,33.12009779757764,28.930170114400404,28.834306385798154,1.4129268403002655,0.09586372860224525,6.269375250551363
U1540,ok,23.729335825,109.2441182,94.0,R3,3.9,93.9,45.88285611861775,45.88285611861775,33.74055609064539,33.13932360683622,29.186269072281565,29.099542564004636,1.5020022168838487,0.08672650827692768,6.254057092577202
U1541,ok,24.004371740000003,109.4489059,121.0,R3,68.7,158.7,45.71203567280535,45.71203567280535,34.86659901463816,32.86204841624776,29.19470448735535,28.940732785323025,2.561063157743064,0.2539717020323172,7.391654538964858
U1542,ok,24.12783365,109.97335082499998,147.0,R3,59.5,149.5,40.15884586215181,40.15884586215181,31.39596162629386,31.24515387932189,27.823983206147112,27.69562352513581,1.6073069099400783,0.12835968101130418,4.722305883002143
U1545,ok,23.98015605,109.67060425,54.0,R3,88.5,178.5,41.203663994633416,41.203663994633416,33.29472115580605,31.320156398256128,28.32566771582427,27.96114841109294,3.3661919885281506,0.364519304731333,6.516305364692279
U1546,ok,24.239622275,109.57928421666668,60.0,R3,133.9,223.9,48.13656553149868,48.13656553149868,34.2177329662745,33.34662737838536,29.37283035459458,29.219618572804603,1.871085091482179,0.1532117817899675,6.470204790680416
U1547,ok,24.077822079761905,109.45320056190477,128.0,R3,127.8,217.8,45.508900289267444,45.508900289267444,34.416436414038124,33.10066176259352,29.438382043980855,29.240897641660208,1.7715282951492455,0.19748440232064804,6.657764292494942
